"Department","Total_Absent_People","Total_Absent_Hours","Average_Absent_People","Average_Absent_Hours","Absent_Rate","total_worked","month"
"CENTRAL SERVICE","14",108,"0.67","5.14","7%",1612.8,2021-10-01
"NEURO","13",124.5,"0.68","6.55","7%",1824,2021-11-01
"PHARMACY","14",93,"0.74","4.89","7%",1352.8,2021-11-01
"NUTRITION","3",24,"0.15","1.2","7%",336,2021-12-01
"SMALL ANIMAL PATIENT CARE","67",487.5,"3.35","24.38","7%",7288,2021-12-01
"LAM - EQUINE","64",496,"3.2","24.8","7%",6712,2021-12-01
"PHARMACY","14",99.5,"0.7","4.97","7%",1424,2021-12-01
"SA SURGERY","11",98,"0.55","4.9","7%",1440,2022-01-01
"ORTHOPEDIC SURGERY","12",97.75,"0.63","5.14","7%",1501.76,2022-02-01
"SMALL ANIMAL PATIENT CARE","64",469.5,"3.37","24.71","7%",6923.6,2022-02-01
"PERSONNEL/PAYROLL","4",29,"0.21","1.53","7%",418,2022-02-01
"SMALL ANIMAL PATIENT CARE","85",597,"3.86","27.14","7%",8016.8,2022-03-01
"ADMINISTRATION OVERHEAD","14",108,"0.64","4.91","7%",1443.2,2022-03-01
"FINANCIAL SERVICES","7",50.5,"0.32","2.3","7%",704,2022-03-01
"BIOLOGICAL MEDIA SERVICES","6",44.25,"0.29","2.11","7%",672,2022-04-01
"COMP AVIAN","9",84,"0.43","4","7%",1243.2,2022-04-01
"LAM - EQUINE","66",519.25,"3.14","24.73","7%",7047.6,2022-04-01
"ONCOLOGIES","20",169.75,"0.95","8.08","7%",2335.2,2022-05-01
"SA SURGERY","11",102.25,"0.52","4.87","7%",1512,2022-05-01
"RADIOLOGY","29",214.25,"1.38","10.2","7%",3208.8,2022-05-01
"ADMINISTRATION OVERHEAD","12",92.5,"0.57","4.4","7%",1377.6,2022-05-01
"SA ICU","37",336,"1.85","16.8","7%",4784,2022-07-01
"SA SX SUPPORT","15",113.5,"0.75","5.68","7%",1584,2022-07-01
"B BARN","5",37.75,"0.25","1.89","7%",560,2022-07-01
"PERSONNEL/PAYROLL","4",32,"0.2","1.6","7%",440,2022-07-01
"DERMATOLOGY","3",24,"0.15","1.2","8%",320,2022-07-01
"SA INTEGRATIVE MEDICINE","5",41,"0.22","1.78","7%",588.8,2022-08-01
"SA SURGERY","13",108,"0.57","4.7","7%",1656,2022-08-01
"SMALL ANIMAL PATIENT CARE","82",598.75,"3.57","26.03","7%",8381.2,2022-08-01
"BIOLOGICAL MEDIA SERVICES","6",48,"0.29","2.29","7%",672,2022-09-01
"RADIOLOGY","31",238.25,"1.48","11.35","7%",3208.8,2022-09-01
"BIOLOGICAL MEDIA SERVICES","7",48,"0.33","2.29","7%",672,2022-10-01
"SA MEDICINE","24",164.5,"1.14","7.83","7%",2520,2022-10-01
"PATHOLOGY","28",201,"1.33","9.57","7%",3066,2022-10-01
"LIVESTOCK","8",73.5,"0.42","3.87","7%",1026,2022-11-01
"SA ICU","32",304.75,"1.68","16.04","7%",4544.8,2022-11-01
"SA COMMUNITY SERVICE","9",75.5,"0.47","3.97","7%",1064,2022-11-01
"SA SURGERY","10",96.75,"0.53","5.09","7%",1368,2022-11-01
"LAM - EQUINE","59",468.75,"3.11","24.67","7%",6376.4,2022-11-01
"RADIOLOGY","25",199.25,"1.32","10.49","7%",2903.2,2022-11-01
"ANESTHESIA","24",216.25,"1.14","10.3","6%",3662.4,2020-01-01
"SA MEDICINE","17",146,"0.89","7.68","6%",2280,2020-02-01
"ONCOLOGIES","16",135.5,"0.84","7.13","6%",2112.8,2020-02-01
"CENTRAL SERVICE","11",88,"0.58","4.63","6%",1459.2,2020-02-01
"ADMINISTRATION OVERHEAD","10",80,"0.53","4.21","6%",1246.4,2020-02-01
"COMP AVIAN","10",78.5,"0.48","3.74","6%",1243.2,2020-03-01
"ADMINISTRATION OVERHEAD","10",77,"0.48","3.67","6%",1377.6,2020-03-01
"BEHAVIOR","3",17.75,"0.15","0.89","6%",320,2020-05-01
"COMP AVIAN","9",72,"0.45","3.6","6%",1184,2020-05-01
"ANESTHESIA","27",230.25,"1.23","10.47","6%",3836.8,2020-06-01
"LAM - EQUINE","60",454.25,"2.73","20.65","6%",7383.2,2020-06-01
"PATHOLOGY","26",189,"1.18","8.59","6%",3212,2020-06-01
"RADIOLOGY","25",190.75,"1.14","8.67","6%",3361.6,2020-07-01
"FINANCIAL SERVICES","6",44,"0.27","2","6%",704,2020-07-01
"LIVESTOCK","8",67.25,"0.38","3.2","6%",1134,2020-08-01
"COMP AVIAN","10",80,"0.48","3.81","6%",1243.2,2020-08-01
"LAM - EQUINE","61",391,"2.9","18.62","6%",7047.6,2020-08-01
"PERSONNEL/PAYROLL","4",30,"0.19","1.43","6%",462,2020-08-01
"SA COMMUNITY SERVICE","10",71.75,"0.48","3.42","6%",1176,2020-09-01
"LAM - EQUINE","51",394.75,"2.43","18.8","6%",7047.6,2020-09-01
"LIVESTOCK","9",73,"0.41","3.32","6%",1188,2020-10-01
"NEURO","16",127.5,"0.73","5.8","6%",2112,2020-10-01
"LAM - EQUINE","55",436,"2.5","19.82","6%",7383.2,2020-10-01
"NEURO","14",102,"0.78","5.67","6%",1728,2020-11-01
"SA ULTRASOUND","1",8,"0.06","0.44","6%",144,2020-11-01
"SA INTEGRATIVE MEDICINE","4",31,"0.2","1.55","6%",512,2020-12-01
"LAM - EQUINE","56",426.25,"2.8","21.31","6%",6712,2020-12-01
"SA MEDICINE","17",137.5,"0.89","7.24","6%",2280,2021-01-01
"LIVESTOCK","7",60,"0.37","3.16","6%",1026,2021-01-01
"SA SURGERY","8",78,"0.42","4.11","6%",1368,2021-01-01
"SA MEDICINE","17",142,"0.89","7.47","6%",2280,2021-02-01
"SA CARDIOLOGY","5",40,"0.26","2.11","6%",623.2,2021-02-01
"LAM - EQUINE","47",362.75,"2.47","19.09","6%",6376.4,2021-02-01
"FINANCIAL SERVICES","6",36,"0.32","1.89","6%",608,2021-02-01
"SA MEDICINE","17",146.5,"0.77","6.66","6%",2640,2021-03-01
"NEURO","14",116.25,"0.64","5.28","6%",2112,2021-03-01
"CLINICAL LABORATORIES","21",152,"0.95","6.91","6%",2631.2,2021-03-01
"SA SURGERY","9",88,"0.41","4","6%",1584,2021-04-01
"ADMINISTRATION OVERHEAD","11",88,"0.5","4","6%",1443.2,2021-04-01
"SA MEDICINE","20",143,"1","7.15","6%",2400,2021-05-01
"COMP AVIAN","9",72,"0.45","3.6","6%",1184,2021-05-01
"LAM - EQUINE","54",423.25,"2.7","21.16","6%",6712,2021-05-01
"PATHOLOGY","23",175,"1.15","8.75","6%",2920,2021-05-01
"PHARMACY","11",86,"0.55","4.3","6%",1424,2021-05-01
"SA CARDIOLOGY","5",40,"0.24","1.9","6%",688.8,2021-06-01
"SA SX SUPPORT","13",97,"0.62","4.62","6%",1663.2,2021-07-01
"LA FEED & BEDDING","13",91.25,"0.59","4.15","6%",1584,2021-08-01
"RADIOLOGY","25",202,"1.14","9.18","6%",3361.6,2021-08-01
"ADMINISTRATION OVERHEAD","11",84,"0.5","3.82","6%",1443.2,2021-08-01
"SA MEDICINE","20",152.25,"0.95","7.25","6%",2520,2021-09-01
"SA COMMUNITY SERVICE","10",74,"0.48","3.52","6%",1176,2021-09-01
"COMMUNITY SURGERY","13",94,"0.62","4.48","6%",1503.6,2021-09-01
"SA SX SUPPORT","12",95.25,"0.57","4.54","6%",1663.2,2021-09-01
"LAM - EQUINE","55",426.25,"2.62","20.3","6%",7047.6,2021-09-01
"PATHOLOGY","26",190,"1.24","9.05","6%",3066,2021-09-01
"CENTRAL SERVICE","14",102.5,"0.67","4.88","6%",1612.8,2021-09-01
"ONCOLOGIES","17",141,"0.81","6.71","6%",2335.2,2021-10-01
"COMMUNITY SURGERY","11",86.75,"0.52","4.13","6%",1503.6,2021-10-01
"SA SURGERY","9",87,"0.43","4.14","6%",1512,2021-10-01
"SA CARDIOLOGY","5",40,"0.26","2.11","6%",623.2,2021-11-01
"SA ICU","38",291,"2","15.32","6%",4544.8,2021-11-01
"CLIENT SERVICES","52",385.75,"2.74","20.3","6%",6308,2021-11-01
"BIOLOGICAL MEDIA SERVICES","5",36.25,"0.25","1.81","6%",640,2021-12-01
"SA COMMUNITY SERVICE","8",64.75,"0.4","3.24","6%",1120,2021-12-01
"B BARN","4",32,"0.2","1.6","6%",560,2021-12-01
"PATHOLOGY","21",168,"1.05","8.4","6%",2920,2021-12-01
"RADIOLOGY","23",184,"1.15","9.2","6%",3056,2021-12-01
"SA MEDICINE","18",146,"0.9","7.3","6%",2400,2022-01-01
"B BARN","4",32,"0.2","1.6","6%",560,2022-01-01
"PERSONNEL/PAYROLL","3",25,"0.15","1.25","6%",440,2022-01-01
"LIVESTOCK","7",58.5,"0.37","3.08","6%",1026,2022-02-01
"SA ICU","33",262.5,"1.74","13.82","6%",4544.8,2022-02-01
"COMMUNITY SURGERY","10",84.25,"0.53","4.43","6%",1360.4,2022-02-01
"B BARN","4",32,"0.21","1.68","6%",532,2022-02-01
"PATHOLOGY","20",156,"1.05","8.21","6%",2774,2022-02-01
"SA CARDIOLOGY","6",44,"0.27","2","6%",721.6,2022-03-01
"COMP AVIAN","9",78,"0.41","3.55","6%",1302.4,2022-03-01
"RADIOLOGY","24",193,"1.09","8.77","6%",3361.6,2022-03-01
"PHARMACY","16",84.5,"0.76","4.02","6%",1495.2,2022-04-01
"OPHTHALMOLOGY","8",50.75,"0.38","2.42","6%",873.6,2022-06-01
"SA COMMUNITY SERVICE","8",68.25,"0.38","3.25","6%",1176,2022-06-01
"LAM - EQUINE","55",431,"2.62","20.52","6%",7047.6,2022-06-01
"PHARMACY","13",84,"0.65","4.2","6%",1424,2022-07-01
"SA ICU","37",353.25,"1.61","15.36","6%",5501.6,2022-08-01
"OPHTHALMOLOGY","7",55.25,"0.3","2.4","6%",956.8,2022-08-01
"LA FEED & BEDDING","14",105,"0.61","4.57","6%",1656,2022-08-01
"SA ICU","36",316,"1.71","15.05","6%",5023.2,2022-09-01
"NEURO","14",129,"0.67","6.14","6%",2016,2022-09-01
"NUTRITION","3",20,"0.14","0.95","6%",352.8,2022-09-01
"PHARMACY","14",91,"0.67","4.33","6%",1495.2,2022-09-01
"DENTISTRY","4",28.25,"0.19","1.35","6%",436.8,2022-10-01
"ONCOLOGIES","17",135.75,"0.81","6.46","6%",2335.2,2022-10-01
"RADIOLOGY","23",186,"1.1","8.86","6%",3208.8,2022-10-01
"LA FEED & BEDDING","10",84,"0.53","4.42","6%",1368,2022-11-01
"SA ICU","29",243.75,"1.38","11.61","5%",5023.2,2020-01-01
"NUTRITION","3",16,"0.14","0.76","5%",352.8,2020-01-01
"SA SX SUPPORT","10",82,"0.48","3.9","5%",1663.2,2020-01-01
"ADMINISTRATION OVERHEAD","9",64.5,"0.43","3.07","5%",1377.6,2020-01-01
"LIVESTOCK","6",51,"0.32","2.68","5%",1026,2020-02-01
"NEURO","10",84.5,"0.53","4.45","5%",1824,2020-02-01
"SA INTEGRATIVE MEDICINE","3",22.75,"0.16","1.2","5%",486.4,2020-02-01
"ANESTHESIA","19",159.75,"1","8.41","5%",3313.6,2020-02-01
"PATHOLOGY","17",147,"0.89","7.74","5%",2774,2020-02-01
"FINANCIAL SERVICES","4",32,"0.21","1.68","5%",608,2020-02-01
"PATHOLOGY","21",163.25,"1","7.77","5%",3066,2020-03-01
"PATHOLOGY","21",155.75,"1.05","7.79","5%",2920,2020-05-01
"PERSONNEL/PAYROLL","3",22.25,"0.15","1.11","5%",440,2020-05-01
"ONCOLOGIES","18",130.25,"0.82","5.92","5%",2446.4,2020-06-01
"RADIOLOGY","20",155.5,"0.91","7.07","5%",3361.6,2020-06-01
"BIOLOGICAL MEDIA SERVICES","5",36,"0.23","1.64","5%",704,2020-07-01
"SA SURGERY","9",82.75,"0.41","3.76","5%",1584,2020-07-01
"BEHAVIOR","3",18,"0.14","0.86","5%",336,2020-08-01
"FINANCIAL SERVICES","6",32.5,"0.29","1.55","5%",672,2020-08-01
"SA MEDICINE","18",136,"0.86","6.48","5%",2520,2020-09-01
"PHARMACY","10",82,"0.48","3.9","5%",1495.2,2020-09-01
"PERSONNEL/PAYROLL","3",22,"0.14","1.05","5%",462,2020-09-01
"BEHAVIOR","2",16,"0.09","0.73","5%",352,2020-10-01
"PATHOLOGY","18",158,"0.82","7.18","5%",3212,2020-10-01
"DERMATOLOGY","2",16,"0.09","0.73","5%",352,2020-10-01
"SA CARDIOLOGY","4",32,"0.22","1.78","5%",590.4,2020-11-01
"NUTRITION","2",15,"0.11","0.83","5%",302.4,2020-11-01
"SA INTEGRATIVE MEDICINE","3",22.75,"0.17","1.26","5%",460.8,2020-11-01
"ONCOLOGIES","13",100.25,"0.65","5.01","5%",2224,2020-12-01
"COMP AVIAN","7",56,"0.35","2.8","5%",1184,2020-12-01
"SA CARDIOLOGY","4",30.75,"0.21","1.62","5%",623.2,2021-01-01
"SA COMMUNITY SERVICE","7",56,"0.37","2.95","5%",1064,2021-01-01
"RADIOLOGY","18",136.25,"0.95","7.17","5%",2903.2,2021-01-01
"CENTRAL SERVICE","9",72.5,"0.47","3.82","5%",1459.2,2021-01-01
"FINANCIAL SERVICES","7",28,"0.37","1.47","5%",608,2021-01-01
"COMMUNITY SURGERY","9",70.75,"0.47","3.72","5%",1360.4,2021-02-01
"COMP AVIAN","7",52,"0.37","2.74","5%",1124.8,2021-02-01
"PATHOLOGY","18",140.75,"0.95","7.41","5%",2774,2021-02-01
"CENTRAL SERVICE","9",76,"0.47","4","5%",1459.2,2021-02-01
"LAM - EQUINE","44",336.75,"2","15.31","5%",7383.2,2021-03-01
"RADIOLOGY","22",174,"1","7.91","5%",3361.6,2021-03-01
"SA INTEGRATIVE MEDICINE","3",26,"0.14","1.18","5%",563.2,2021-04-01
"COMP AVIAN","9",66,"0.41","3","5%",1302.4,2021-04-01
"PHARMACY","10",84,"0.45","3.82","5%",1566.4,2021-04-01
"PERSONNEL/PAYROLL","3",25,"0.14","1.14","5%",484,2021-04-01
"NEURO","11",97.5,"0.55","4.88","5%",1920,2021-05-01
"ONCOLOGIES","14",103,"0.7","5.15","5%",2224,2021-05-01
"OPHTHALMOLOGY","5",40,"0.25","2","5%",832,2021-05-01
"SA INTEGRATIVE MEDICINE","3",27,"0.15","1.35","5%",512,2021-05-01
"SA SURGERY","10",77.25,"0.5","3.86","5%",1440,2021-05-01
"DERMATOLOGY","2",16,"0.1","0.8","5%",320,2021-05-01
"ONCOLOGIES","13",107.25,"0.62","5.11","5%",2335.2,2021-06-01
"ONCOLOGIES","15",119.25,"0.71","5.68","5%",2335.2,2021-07-01
"COMMUNITY SURGERY","11",73.75,"0.52","3.51","5%",1503.6,2021-07-01
"SA SURGERY","8",75.25,"0.38","3.58","5%",1512,2021-07-01
"SA ULTRASOUND","1",8,"0.05","0.38","5%",168,2021-07-01
"BEHAVIOR","2",17,"0.09","0.77","5%",352,2021-08-01
"DENTISTRY","3",24.5,"0.14","1.11","5%",457.6,2021-08-01
"LAM - EQUINE","49",391,"2.23","17.77","5%",7383.2,2021-08-01
"ONCOLOGIES","14",116,"0.67","5.52","5%",2335.2,2021-09-01
"SA SURGERY","7",70,"0.33","3.33","5%",1512,2021-09-01
"PHARMACY","13",82,"0.62","3.9","5%",1495.2,2021-09-01
"LIVESTOCK","7",58,"0.33","2.76","5%",1134,2021-10-01
"SA CARDIOLOGY","5",36.75,"0.24","1.75","5%",688.8,2021-10-01
"LAM - EQUINE","45",344,"2.14","16.38","5%",7047.6,2021-10-01
"PHARMACY","12",76.5,"0.57","3.64","5%",1495.2,2021-10-01
"PATHOLOGY","19",143.25,"1","7.54","5%",2774,2021-11-01
"SA ULTRASOUND","1",8,"0.05","0.42","5%",152,2021-11-01
"ADMINISTRATION OVERHEAD","10",62,"0.53","3.26","5%",1246.4,2021-11-01
"SA ICU","30",262.75,"1.5","13.14","5%",4784,2021-12-01
"BEHAVIOR","2",15.5,"0.1","0.78","5%",320,2022-01-01
"ONCOLOGIES","14",111,"0.7","5.55","5%",2224,2022-01-01
"SA SX SUPPORT","9",76.25,"0.45","3.81","5%",1584,2022-01-01
"SA ULTRASOUND","1",8,"0.05","0.4","5%",160,2022-01-01
"SA INTEGRATIVE MEDICINE","3",24.75,"0.16","1.3","5%",486.4,2022-02-01
"PHARMACY","11",72.25,"0.58","3.8","5%",1352.8,2022-02-01
"SA ICU","32",269.5,"1.45","12.25","5%",5262.4,2022-03-01
"ONCOLOGIES","14",110.75,"0.64","5.03","5%",2446.4,2022-03-01
"SA INTEGRATIVE MEDICINE","3",30,"0.14","1.36","5%",563.2,2022-03-01
"ORTHOPEDIC SURGERY","10",84.5,"0.45","3.84","5%",1738.88,2022-03-01
"SA ULTRASOUND","1",8,"0.05","0.36","5%",176,2022-03-01
"LAM - EQUINE","45",344.25,"2.14","16.39","5%",7047.6,2022-05-01
"PATHOLOGY","23",143.75,"1.1","6.85","5%",3066,2022-05-01
"SA MEDICINE","17",130,"0.81","6.19","5%",2520,2022-06-01
"ORTHOPEDIC SURGERY","11",87,"0.52","4.14","5%",1659.84,2022-06-01
"ONCOLOGIES","13",105,"0.65","5.25","5%",2224,2022-07-01
"SA COMMUNITY SERVICE","7",60,"0.35","3","5%",1120,2022-07-01
"LAM - EQUINE","46",363.75,"2.3","18.19","5%",6712,2022-07-01
"PATHOLOGY","19",144,"0.95","7.2","5%",2920,2022-07-01
"ONCOLOGIES","17",137,"0.74","5.96","5%",2557.6,2022-08-01
"SA COMMUNITY SERVICE","8",62,"0.35","2.7","5%",1288,2022-08-01
"LAM - EQUINE","51",389.75,"2.22","16.95","5%",7718.8,2022-08-01
"ONCOLOGIES","15",122.5,"0.71","5.83","5%",2335.2,2022-09-01
"ADMINISTRATION OVERHEAD","11",67,"0.52","3.19","5%",1377.6,2022-09-01
"DERMATOLOGY","2",16,"0.1","0.76","5%",336,2022-10-01
"BIOLOGICAL MEDIA SERVICES","4",32,"0.21","1.68","5%",608,2022-11-01
"COMP AVIAN","7",49.25,"0.33","2.35","4%",1243.2,2020-01-01
"FINANCIAL SERVICES","3",24,"0.14","1.14","4%",672,2020-01-01
"SA CARDIOLOGY","3",24,"0.16","1.26","4%",623.2,2020-02-01
"SA ICU","28",192.5,"1.47","10.13","4%",4544.8,2020-02-01
"NUTRITION","2",12,"0.11","0.63","4%",319.2,2020-02-01
"SA SX SUPPORT","7",58,"0.37","3.05","4%",1504.8,2020-02-01
"SA SURGERY","6",52,"0.3","2.6","4%",1440,2020-05-01
"FINANCIAL SERVICES","4",28.5,"0.2","1.43","4%",640,2020-05-01
"OPHTHALMOLOGY","5",36.75,"0.23","1.67","4%",915.2,2020-06-01
"SA SX SUPPORT","8",66,"0.36","3","4%",1742.4,2020-06-01
"FINANCIAL SERVICES","4",28.5,"0.18","1.3","4%",704,2020-06-01
"PATHOLOGY","14",117.5,"0.64","5.34","4%",3212,2020-07-01
"ORTHOPEDIC SURGERY","8",72,"0.38","3.43","4%",1659.84,2020-08-01
"PATHOLOGY","16",124.5,"0.76","5.93","4%",3066,2020-08-01
"RADIOLOGY","14",118,"0.67","5.62","4%",3208.8,2020-08-01
"PHARMACY","9",63.75,"0.43","3.04","4%",1495.2,2020-08-01
"DENTISTRY","2",17.5,"0.1","0.83","4%",436.8,2020-09-01
"B BARN","3",24,"0.14","1.14","4%",588,2020-09-01
"PATHOLOGY","16",122,"0.76","5.81","4%",3066,2020-09-01
"FINANCIAL SERVICES","5",29,"0.24","1.38","4%",672,2020-09-01
"SA COMMUNITY SERVICE","6",52,"0.27","2.36","4%",1232,2020-10-01
"ORTHOPEDIC SURGERY","7",62,"0.32","2.82","4%",1738.88,2020-10-01
"ADMINISTRATION OVERHEAD","7",56,"0.32","2.55","4%",1443.2,2020-10-01
"FINANCIAL SERVICES","5",28,"0.23","1.27","4%",704,2020-10-01
"PATHOLOGY","13",104,"0.72","5.78","4%",2628,2020-11-01
"RADIOLOGY","15",120,"0.83","6.67","4%",2750.4,2020-11-01
"OPHTHALMOLOGY","4",34,"0.2","1.7","4%",832,2020-12-01
"SA SX SUPPORT","8",67.75,"0.4","3.39","4%",1584,2020-12-01
"RADIOLOGY","17",132,"0.85","6.6","4%",3056,2020-12-01
"DENTISTRY","2",17,"0.11","0.89","4%",395.2,2021-01-01
"ONCOLOGIES","12",91.25,"0.63","4.8","4%",2112.8,2021-01-01
"LAM - EQUINE","31",243,"1.63","12.79","4%",6376.4,2021-01-01
"PATHOLOGY","13",100.75,"0.68","5.3","4%",2774,2021-01-01
"PHARMACY","6",49,"0.32","2.58","4%",1352.8,2021-01-01
"PERSONNEL/PAYROLL","2",17,"0.11","0.89","4%",418,2021-01-01
"BIOLOGICAL MEDIA SERVICES","3",24,"0.16","1.26","4%",608,2021-02-01
"BEHAVIOR","2",12,"0.11","0.63","4%",304,2021-02-01
"SA COMMUNITY SERVICE","6",41,"0.32","2.16","4%",1064,2021-02-01
"PHARMACY","8",48,"0.42","2.53","4%",1352.8,2021-02-01
"PERSONNEL/PAYROLL","2",15,"0.11","0.79","4%",418,2021-02-01
"NUTRITION","2",16,"0.09","0.73","4%",369.6,2021-03-01
"ONCOLOGIES","11",90,"0.5","4.09","4%",2446.4,2021-03-01
"OPHTHALMOLOGY","5",40,"0.23","1.82","4%",915.2,2021-03-01
"B BARN","3",23,"0.14","1.05","4%",616,2021-03-01
"SA MEDICINE","15",94.75,"0.68","4.31","4%",2640,2021-04-01
"ORTHOPEDIC SURGERY","8",65.25,"0.36","2.97","4%",1738.88,2021-04-01
"BEHAVIOR","2",12,"0.1","0.6","4%",320,2021-05-01
"DENTISTRY","2",17,"0.1","0.85","4%",416,2021-05-01
"SA COMMUNITY SERVICE","7",49.75,"0.35","2.49","4%",1120,2021-05-01
"FINANCIAL SERVICES","5",24,"0.25","1.2","4%",640,2021-05-01
"COMP AVIAN","7",51,"0.33","2.43","4%",1243.2,2021-06-01
"BIOLOGICAL MEDIA SERVICES","3",24,"0.14","1.14","4%",672,2021-07-01
"SA MEDICINE","15",104.5,"0.71","4.98","4%",2520,2021-07-01
"NUTRITION","2",13.75,"0.1","0.65","4%",352.8,2021-07-01
"ONCOLOGIES","12",94.75,"0.55","4.31","4%",2446.4,2021-08-01
"BIOLOGICAL MEDIA SERVICES","4",28.25,"0.19","1.35","4%",672,2021-09-01
"BEHAVIOR","2",14,"0.1","0.67","4%",336,2021-09-01
"B BARN","3",24,"0.14","1.14","4%",588,2021-09-01
"DENTISTRY","2",16.5,"0.1","0.79","4%",436.8,2021-10-01
"SA INTEGRATIVE MEDICINE","3",24,"0.14","1.14","4%",537.6,2021-10-01
"PATHOLOGY","14",114.75,"0.67","5.46","4%",3066,2021-10-01
"ONCOLOGIES","11",84,"0.58","4.42","4%",2112.8,2021-11-01
"SA SURGERY","6",60,"0.32","3.16","4%",1368,2021-11-01
"LIVESTOCK","5",44,"0.25","2.2","4%",1080,2022-01-01
"SA COMMUNITY SERVICE","6",42,"0.3","2.1","4%",1120,2022-01-01
"COMP AVIAN","5",42.5,"0.25","2.12","4%",1184,2022-01-01
"SA MEDICINE","13",96,"0.68","5.05","4%",2280,2022-02-01
"NUTRITION","2",12.5,"0.11","0.66","4%",319.2,2022-02-01
"SA COMMUNITY SERVICE","5",45,"0.23","2.05","4%",1232,2022-03-01
"SA SURGERY","7",62,"0.32","2.82","4%",1584,2022-03-01
"LAM - EQUINE","40",305,"1.82","13.86","4%",7383.2,2022-03-01
"CENTRAL SERVICE","9",76,"0.41","3.45","4%",1689.6,2022-03-01
"LIVESTOCK","6",44,"0.29","2.1","4%",1134,2022-04-01
"DENTISTRY","2",16.5,"0.1","0.79","4%",436.8,2022-04-01
"PERSONNEL/PAYROLL","2",17,"0.1","0.81","4%",462,2022-04-01
"DENTISTRY","2",16,"0.1","0.76","4%",436.8,2022-05-01
"SA ICU","23",205,"1.1","9.76","4%",5023.2,2022-06-01
"ADMINISTRATION OVERHEAD","8",57.5,"0.4","2.88","4%",1312,2022-07-01
"ORTHOPEDIC SURGERY","9",77,"0.39","3.35","4%",1817.92,2022-08-01
"B BARN","3",21,"0.14","1","4%",588,2022-10-01
"SA MEDICINE","15",102,"0.79","5.37","4%",2280,2022-11-01
"ONCOLOGIES","11",90.25,"0.58","4.75","4%",2112.8,2022-11-01
"SA MEDICINE","10",77.5,"0.48","3.69","3%",2520,2020-01-01
"OPHTHALMOLOGY","4",28,"0.19","1.33","3%",873.6,2020-01-01
"SA COMMUNITY SERVICE","6",34.5,"0.29","1.64","3%",1176,2020-01-01
"PERSONNEL/PAYROLL","2",16,"0.1","0.76","3%",462,2020-01-01
"SA SURGERY","5",46,"0.26","2.42","3%",1368,2020-02-01
"COMP AVIAN","4",32,"0.21","1.68","3%",1124.8,2020-02-01
"PHARMACY","8",46.5,"0.42","2.45","3%",1352.8,2020-02-01
"FINANCIAL SERVICES","3",23.25,"0.14","1.11","3%",672,2020-03-01
"FINANCIAL SERVICES","3",20.5,"0.14","0.93","3%",704,2020-04-01
"B BARN","2",14.5,"0.1","0.72","3%",560,2020-05-01
"LIVESTOCK","5",39.25,"0.23","1.78","3%",1188,2020-06-01
"HOUSE OFFICERS","60",480,"2.73","21.82","3%",17512,2020-06-01
"ORTHOPEDIC SURGERY","6",46.5,"0.27","2.11","3%",1738.88,2020-06-01
"OPHTHALMOLOGY","3",26,"0.14","1.18","3%",915.2,2020-07-01
"B BARN","2",16,"0.09","0.73","3%",616,2020-07-01
"SA SURGERY","5",43.75,"0.24","2.08","3%",1512,2020-09-01
"RADIOLOGY","13",106,"0.62","5.05","3%",3208.8,2020-09-01
"B BARN","2",16,"0.11","0.89","3%",504,2020-11-01
"ADMINISTRATION OVERHEAD","5",40,"0.28","2.22","3%",1180.8,2020-11-01
"FINANCIAL SERVICES","3",20,"0.17","1.11","3%",576,2020-11-01
"COMP AVIAN","4",32,"0.21","1.68","3%",1124.8,2021-01-01
"B BARN","2",15,"0.11","0.79","3%",532,2021-01-01
"ONCOLOGIES","7",53.5,"0.37","2.82","3%",2112.8,2021-02-01
"ADMINISTRATION OVERHEAD","5",34,"0.26","1.79","3%",1246.4,2021-02-01
"SA INTEGRATIVE MEDICINE","3",17.25,"0.14","0.78","3%",563.2,2021-03-01
"SA COMMUNITY SERVICE","5",40,"0.23","1.82","3%",1232,2021-03-01
"ADMINISTRATION OVERHEAD","5",40,"0.23","1.82","3%",1443.2,2021-03-01
"ONCOLOGIES","11",80,"0.5","3.64","3%",2446.4,2021-04-01
"B BARN","2",15,"0.1","0.75","3%",560,2021-05-01
"BIOLOGICAL MEDIA SERVICES","4",22,"0.19","1.05","3%",672,2021-06-01
"SA COMMUNITY SERVICE","5",40,"0.24","1.9","3%",1176,2021-06-01
"SA SURGERY","5",44,"0.24","2.1","3%",1512,2021-06-01
"PATHOLOGY","15",102,"0.71","4.86","3%",3066,2021-06-01
"PERSONNEL/PAYROLL","2",16,"0.1","0.76","3%",462,2021-06-01
"SA SURGERY","4",40,"0.18","1.82","3%",1584,2021-08-01
"PATHOLOGY","15",97.5,"0.68","4.43","3%",3212,2021-08-01
"SA SX SUPPORT","7",48.5,"0.37","2.55","3%",1504.8,2021-11-01
"LAM - EQUINE","28",208.25,"1.47","10.96","3%",6376.4,2021-11-01
"B BARN","2",16,"0.11","0.84","3%",532,2021-11-01
"SA INTEGRATIVE MEDICINE","2",14.25,"0.1","0.71","3%",512,2021-12-01
"PATHOLOGY","11",98,"0.55","4.9","3%",2920,2022-01-01
"SA COMMUNITY SERVICE","4",33,"0.21","1.74","3%",1064,2022-02-01
"SA SURGERY","5",44,"0.26","2.32","3%",1368,2022-02-01
"BIOLOGICAL MEDIA SERVICES","4",24,"0.18","1.09","3%",704,2022-03-01
